LNR,RESPONSE
1754,0.38989364365201046
1770,0.38989364365201046
1465,0.3363371221359816
1470,0.3360783242889593
1478,0.3886919411825944
1782,0.33531053829674423
1485,0.3886919411825944
1519,0.38907939285604864
1835,0.3879859390119636
1522,0.38907939285604864
1539,0.39590272847489233
1853,0.38989364365201046
1856,0.387930681792742
2502,0.38989364365201046
2182,0.39078044320438454
2191,0.38978611750991227
2522,0.3875436483767658
2530,0.3891868483824497
2215,0.38879935780328057
2550,0.38989364365201046
2570,0.38978611750991227
2574,0.3511911437076876
2579,0.38989364365201046
2247,0.38989364365201046
2674,0.3363371221359816
11434,0.3362362260833637
11122,0.38989364365201046
11127,0.3886919411825944
11443,0.38989364365201046
11170,0.33519548992314485
11191,0.387930681792742
11198,0.38989364365201046
10936,0.33519548992314485
11244,0.38978611750991227
11247,0.3511911437076876
11252,0.38978611750991227
11259,0.33519548992314485
10945,0.3511911437076876
10951,0.33531053829674423
11271,0.3886919411825944
10963,0.38989364365201046
11282,0.38879935780328057
11291,0.3363371221359816
10980,0.3886919411825944
10994,0.35014314176417605
10998,0.33519548992314485
11303,0.38978611750991227
11630,0.33531053829674423
11636,0.33531053829674423
11949,0.3362738380850384
11950,0.3895777527834308
11956,0.38989364365201046
11648,0.33519548992314485
11653,0.3886919411825944
11967,0.3886919411825944
11972,0.3352473498308679
11975,0.3886919411825944
12110,0.3968958093666459
12113,0.38978611750991227
11712,0.33531053829674423
11716,0.33519548992314485
12000,0.3886919411825944
11722,0.3879859390119636
12023,0.33519548992314485
12046,0.33531053829674423
11762,0.33519548992314485
12071,0.3363371221359816
12077,0.3957946202072614
11785,0.38989364365201046
11788,0.3978964454576813
11790,0.3875436483767658
11800,0.3886919411825944
11806,0.3352097946562842
11816,0.3957946202072614
11505,0.3886919411825944
11837,0.3886919411825944
11531,0.38978611750991227
11848,0.3906728291011546
11854,0.3886919411825944
11877,0.3352097946562842
11563,0.35129415231495925
11567,0.38989364365201046
11894,0.3886919411825944
11906,0.3363371221359816
11917,0.33519548992314485
11610,0.33519548992314485
11923,0.3886919411825944
